id;date_added;content;in_circulation
1;2019-07-04T12:55:58;navigate;true
2;2019-07-04T02:52:57;alarm local area network Benin;true
3;2019-07-04T11:55:02;dedicated Persevering;true
4;2019-07-03T21:14:57;Cambridgeshire Investor;false
5;2019-07-04T01:40:02;Borders North Dakota;false
6;2019-07-04T00:00:09;Re-contextualized;false
7;2019-07-04T14:00:14;Shoes deposit;false
8;2019-07-03T20:52:25;Villages uniform PCI;true
9;2019-07-04T20:22:17;Tactics architectures Planner;true
10;2019-07-03T21:12:53;Incredible functionalities fuchsia;false
