id;hex_row;hex_column;coordinates;is_mapped
1;Practical Soft Salad Guam;Frozen Metal program;SDD bypassing;false
2;Centralized revolutionize International;Sleek;Visionary;true
3;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;false
4;mesh system Triple-buffered;Cotton;Advanced grow;true
5;hack;Fresh payment synthesize;Versatile seize;false
6;Refined;Mandatory Assistant;Strategist;true
7;success;Tuvalu;Senior Optional Yemeni Rial;false
8;Tuna magenta;Wells;Naira iterate;true
9;Product;Brand Regional Court;B2B Mouse;true
10;facilitate Persevering;Fantastic;zero defect Ridges Beauty;false
